date_obs,resultat_obs,code_statut,code_qualification_obs
2026-09-02T00:30:00Z,202.0,4,16
2026-09-02T00:20:00Z,201.0,4,16
2026-09-02T00:10:00Z,196.0,4,16
2026-09-02T00:00:00Z,195.0,4,16
2026-09-01T23:50:00Z,198.0,4,16
2026-09-01T23:40:00Z,200.0,4,16
2026-09-01T23:30:00Z,206.0,4,16
2026-09-01T23:20:00Z,214.0,4,16
2026-09-01T23:10:00Z,209.0,4,16
2026-09-01T23:00:00Z,210.0,4,16
2026-09-01T22:50:00Z,210.0,4,16
2026-09-01T22:40:00Z,204.0,4,16
2026-09-01T22:30:00Z,147.0,4,16
2026-09-01T22:20:00Z,215.0,4,16
2026-09-01T22:10:00Z,220.0,4,16
2026-09-01T22:00:00Z,232.0,4,16
2026-09-01T21:50:00Z,210.0,4,16
2026-09-01T21:40:00Z,210.0,4,16
2026-09-01T21:30:00Z,209.0,4,16
2026-09-01T21:20:00Z,209.0,4,16
2026-09-01T21:10:00Z,211.0,4,16
2026-09-01T21:00:00Z,213.0,4,16
2026-09-01T20:50:00Z,213.0,4,16
2026-09-01T20:40:00Z,218.0,4,16
2026-09-01T20:30:00Z,210.0,4,16
2026-09-01T20:20:00Z,209.0,4,16
2026-09-01T20:10:00Z,207.0,4,16
2026-09-01T20:00:00Z,213.0,4,16
2026-09-01T19:50:00Z,213.0,4,16
2026-09-01T19:40:00Z,212.0,4,16
2026-09-01T19:30:00Z,221.0,4,16
2026-09-01T19:20:00Z,214.0,4,16
2026-09-01T19:10:00Z,211.0,4,16
2026-09-01T19:00:00Z,200.0,4,16
2026-09-01T18:50:00Z,200.0,4,16
2026-09-01T18:40:00Z,184.0,4,16
2026-09-01T18:30:00Z,218.0,4,16
2026-09-01T18:20:00Z,226.0,4,16
2026-09-01T18:10:00Z,194.0,4,16
2026-09-01T18:00:00Z,216.0,4,16
2026-09-01T17:50:00Z,214.0,4,16
2026-09-01T17:40:00Z,204.0,4,16
2026-09-01T17:30:00Z,197.0,4,16
2026-09-01T17:20:00Z,195.0,4,16
2026-09-01T17:10:00Z,191.0,4,16
2026-09-01T17:00:00Z,184.0,4,16
2026-09-01T16:50:00Z,186.0,4,16
2026-09-01T16:40:00Z,174.0,4,16
2026-09-01T16:30:00Z,84.0,4,16
2026-09-01T16:20:00Z,190.0,4,16
2026-09-01T16:10:00Z,191.0,4,16
2026-09-01T16:00:00Z,225.0,4,16
2026-09-01T15:50:00Z,226.0,4,16
2026-09-01T15:40:00Z,229.0,4,16
2026-09-01T15:30:00Z,228.0,4,16
2026-09-01T15:20:00Z,231.0,4,16
2026-09-01T15:10:00Z,224.0,4,16
2026-09-01T15:00:00Z,234.0,4,16
2026-09-01T14:50:00Z,242.0,4,16
2026-09-01T14:40:00Z,243.0,4,16
2026-09-01T14:30:00Z,246.0,4,16
2026-09-01T14:20:00Z,241.0,4,16
2026-09-01T14:10:00Z,249.0,4,16
2026-09-01T14:00:00Z,247.0,4,16
2026-09-01T13:50:00Z,259.0,4,16
2026-09-01T13:40:00Z,243.0,4,16
2026-09-01T13:30:00Z,246.0,4,16
2026-09-01T13:20:00Z,210.0,4,16
2026-09-01T13:10:00Z,263.0,4,16
2026-09-01T13:00:00Z,279.0,4,16
2026-09-01T12:50:00Z,261.0,4,16
2026-09-01T12:40:00Z,261.0,4,16
2026-09-01T12:30:00Z,276.0,4,16
2026-09-01T12:20:00Z,271.0,4,16
2026-09-01T12:10:00Z,288.0,4,16
2026-09-01T12:00:00Z,302.0,4,16
2026-09-01T11:50:00Z,325.0,4,16
2026-09-01T11:40:00Z,325.0,4,16
2026-09-01T11:30:00Z,348.0,4,16
2026-09-01T11:20:00Z,337.0,4,16
2026-09-01T11:10:00Z,327.0,4,16
2026-09-01T11:00:00Z,319.0,4,16
2026-09-01T10:50:00Z,310.0,4,16
2026-09-01T10:40:00Z,308.0,4,16
2026-09-01T10:30:00Z,217.0,4,16
2026-09-01T10:20:00Z,296.0,4,16
2026-09-01T10:10:00Z,308.0,4,16
2026-09-01T10:00:00Z,269.0,4,16
2026-09-01T09:50:00Z,246.0,4,16
2026-09-01T09:40:00Z,236.0,4,16
2026-09-01T09:30:00Z,234.0,4,16
2026-09-01T09:20:00Z,241.0,4,16
2026-09-01T09:10:00Z,220.0,4,16
2026-09-01T09:00:00Z,217.0,4,16
2026-09-01T08:50:00Z,201.0,4,16
2026-09-01T08:40:00Z,193.0,4,16
2026-09-01T08:30:00Z,186.0,4,16
2026-09-01T08:20:00Z,175.0,4,16
2026-09-01T08:10:00Z,184.0,4,16
2026-09-01T08:00:00Z,162.0,12,20
2026-09-01T07:50:00Z,168.0,12,20
2026-09-01T07:40:00Z,109.0,12,20
2026-09-01T07:20:00Z,142.0,12,20
2026-09-01T03:10:00Z,307.0,12,20
2026-09-01T02:50:00Z,337.0,12,20
2026-09-01T02:40:00Z,368.0,12,20
2026-09-01T01:30:00Z,303.0,12,20
2026-09-01T01:10:00Z,293.0,12,20
2026-09-01T01:00:00Z,301.0,12,20
2026-09-01T00:50:00Z,277.0,12,20
2026-09-01T00:40:00Z,290.0,12,20
2026-09-01T00:30:00Z,252.0,12,20
2026-08-31T23:50:00Z,229.0,12,20
2026-08-31T23:40:00Z,170.0,12,20
2026-08-31T20:20:00Z,318.0,12,20
2026-08-31T19:40:00Z,330.0,12,20
2026-08-31T19:30:00Z,359.0,12,20
2026-08-31T19:10:00Z,363.0,12,20
2026-08-31T19:00:00Z,385.0,12,20
2026-08-31T18:50:00Z,377.0,12,20
2026-08-31T18:40:00Z,419.0,12,20
2026-08-31T18:00:00Z,360.0,12,20
2026-08-31T17:50:00Z,321.0,12,20
2026-08-31T17:40:00Z,205.0,12,20
2026-08-31T17:30:00Z,206.0,12,20
2026-08-31T17:20:00Z,280.0,12,20
2026-08-31T17:10:00Z,274.0,12,20
2026-08-31T16:50:00Z,201.0,12,20
2026-08-31T16:20:00Z,168.0,12,20
2026-08-31T16:10:00Z,181.0,12,20
2026-08-31T16:00:00Z,173.0,12,20
2026-08-31T15:50:00Z,202.0,12,20
2026-08-31T15:40:00Z,173.0,12,20
2026-08-31T15:10:00Z,188.0,12,20
2026-08-31T14:40:00Z,219.0,12,20
2026-08-31T14:30:00Z,198.0,12,20
2026-08-31T14:20:00Z,198.0,12,20
2026-08-31T13:30:00Z,235.0,12,20
2026-08-31T13:20:00Z,259.0,12,20
2026-08-31T13:10:00Z,229.0,12,20
2026-08-31T11:40:00Z,268.0,12,20
2026-08-31T10:50:00Z,263.0,12,20
2026-08-31T10:20:00Z,292.0,12,20
2026-08-31T10:10:00Z,274.0,12,20
2026-08-31T09:00:00Z,284.0,12,20
2026-08-31T08:50:00Z,261.0,12,20
2026-08-31T08:40:00Z,291.0,12,20
2026-08-31T08:30:00Z,281.0,12,20
2026-08-31T08:20:00Z,303.0,12,20
2026-08-31T08:10:00Z,305.0,12,20
2026-08-31T07:40:00Z,277.0,12,20
2026-08-31T07:20:00Z,307.0,12,20
2026-08-31T06:50:00Z,312.0,12,20
2026-08-31T06:10:00Z,309.0,12,20
2026-08-31T05:50:00Z,293.0,12,20
2026-08-31T05:40:00Z,298.0,12,20
2026-08-31T05:30:00Z,283.0,12,20
2026-08-31T05:00:00Z,298.0,12,20
2026-08-31T04:30:00Z,286.0,12,20
2026-08-31T02:00:00Z,309.0,12,20
2026-08-31T01:20:00Z,326.0,12,20
2026-08-30T22:30:00Z,325.0,12,20
2026-08-30T17:50:00Z,356.0,12,20
2026-08-30T17:40:00Z,336.0,12,20
2026-08-30T17:30:00Z,346.0,12,20
2026-08-30T17:00:00Z,334.0,12,20
2026-08-30T16:10:00Z,345.0,12,20
2026-08-30T15:40:00Z,332.0,12,20
2026-08-30T15:00:00Z,343.0,12,20
2026-08-30T14:20:00Z,329.0,12,20
2026-08-30T13:40:00Z,343.0,12,20
2026-08-30T13:20:00Z,327.0,12,20
2026-08-30T12:30:00Z,324.0,12,20
2026-08-30T11:20:00Z,341.0,12,20
2026-08-30T11:00:00Z,324.0,12,20
2026-08-30T10:40:00Z,324.0,12,20
2026-08-30T10:10:00Z,352.0,12,20
2026-08-30T10:00:00Z,348.0,12,20
2026-08-30T09:50:00Z,365.0,12,20
2026-08-30T09:40:00Z,346.0,12,20
2026-08-30T08:30:00Z,365.0,12,20
2026-08-30T07:50:00Z,350.0,12,20
2026-08-30T06:40:00Z,361.0,12,20
2026-08-30T06:10:00Z,338.0,12,20
2026-08-30T02:50:00Z,352.0,12,20
2026-08-30T02:00:00Z,371.0,12,20
2026-08-30T01:30:00Z,352.0,12,20
2026-08-30T01:00:00Z,376.0,12,20
2026-08-30T00:10:00Z,368.0,12,20
2026-08-29T23:10:00Z,377.0,12,20
2026-08-29T22:10:00Z,408.0,12,20
2026-08-29T21:30:00Z,443.0,12,20
2026-08-29T20:30:00Z,463.0,12,20
2026-08-29T19:50:00Z,499.0,12,20
2026-08-29T19:30:00Z,479.0,12,20
2026-08-29T19:20:00Z,488.0,12,20
2026-08-29T19:10:00Z,462.0,12,20
2026-08-29T18:50:00Z,467.0,12,20
2026-08-29T18:30:00Z,444.0,12,20
2026-08-29T18:20:00Z,453.0,12,20
2026-08-29T18:10:00Z,424.0,12,20
2026-08-29T17:10:00Z,408.0,12,20
2026-08-29T17:00:00Z,418.0,12,20
2026-08-29T16:20:00Z,404.0,12,20
2026-08-29T15:30:00Z,409.0,12,20
2026-08-29T14:40:00Z,383.0,12,20
2026-08-29T13:50:00Z,389.0,12,20
2026-08-29T13:40:00Z,365.0,12,20
2026-08-29T13:10:00Z,352.0,12,20
2026-08-29T12:20:00Z,352.0,12,20
2026-08-29T12:10:00Z,317.0,12,20
2026-08-29T11:20:00Z,312.0,12,20
2026-08-29T10:50:00Z,289.0,12,20
2026-08-29T09:40:00Z,309.0,12,20
2026-08-29T09:30:00Z,291.0,12,20
2026-08-29T09:10:00Z,294.0,12,20
2026-08-29T08:40:00Z,277.0,12,20
2026-08-29T06:40:00Z,282.0,12,20
2026-08-29T06:30:00Z,269.0,12,20
2026-08-29T06:20:00Z,277.0,12,20
2026-08-29T03:50:00Z,268.0,12,20
2026-08-29T03:40:00Z,276.0,12,20
2026-08-29T03:10:00Z,259.0,12,20
2026-08-29T00:20:00Z,279.0,12,20
2026-08-28T23:50:00Z,295.0,12,20
2026-08-28T21:10:00Z,301.0,12,20
2026-08-28T20:30:00Z,290.0,12,20
2026-08-28T19:50:00Z,312.0,12,20
2026-08-28T19:40:00Z,295.0,12,20
2026-08-28T19:10:00Z,307.0,12,20
2026-08-28T18:20:00Z,295.0,12,20
2026-08-28T18:00:00Z,310.0,12,20
2026-08-28T17:40:00Z,294.0,12,20
2026-08-28T16:20:00Z,316.0,12,20
2026-08-28T15:50:00Z,307.0,12,20
2026-08-28T14:40:00Z,314.0,12,20
2026-08-28T14:20:00Z,327.0,12,20
2026-08-28T12:40:00Z,331.0,12,20
2026-08-28T11:10:00Z,368.0,12,20
2026-08-28T11:00:00Z,368.0,12,20
2026-08-28T10:50:00Z,342.0,12,20
2026-08-28T10:40:00Z,388.0,12,20
2026-08-28T10:30:00Z,404.0,12,20
2026-08-28T09:40:00Z,414.0,12,20
2026-08-28T09:00:00Z,439.0,12,20
2026-08-28T07:30:00Z,443.0,12,20
2026-08-28T05:10:00Z,421.0,12,20
2026-08-28T04:10:00Z,439.0,12,20
2026-08-28T03:40:00Z,414.0,12,20
2026-08-28T02:40:00Z,396.0,12,20
2026-08-28T02:10:00Z,364.0,12,20
2026-08-28T01:00:00Z,352.0,12,20
2026-08-28T00:20:00Z,373.0,12,20
2026-08-28T00:10:00Z,352.0,12,20
2026-08-28T00:00:00Z,352.0,12,20
2026-08-27T23:40:00Z,327.0,12,20
2026-08-27T23:10:00Z,347.0,12,20
2026-08-27T22:30:00Z,336.0,12,20
2026-08-27T21:40:00Z,356.0,12,20
2026-08-27T20:40:00Z,349.0,12,20
2026-08-27T20:30:00Z,361.0,12,20
2026-08-27T20:00:00Z,338.0,12,20
2026-08-27T19:30:00Z,339.0,12,20
2026-08-27T19:20:00Z,350.0,12,20
2026-08-27T19:10:00Z,334.0,12,20
2026-08-27T17:50:00Z,314.0,12,20
2026-08-27T17:20:00Z,338.0,12,20
2026-08-27T17:10:00Z,308.0,12,20
2026-08-27T16:40:00Z,324.0,12,20
2026-08-27T16:10:00Z,314.0,12,20
2026-08-27T15:50:00Z,334.0,12,20
2026-08-27T15:30:00Z,337.0,12,20
2026-08-27T14:30:00Z,328.0,12,20
2026-08-27T14:10:00Z,352.0,12,20
2026-08-27T14:00:00Z,349.0,12,20
2026-08-27T13:50:00Z,320.0,12,20
2026-08-27T13:30:00Z,336.0,12,20
2026-08-27T13:00:00Z,326.0,12,20
2026-08-27T12:50:00Z,340.0,12,20
2026-08-27T12:40:00Z,324.0,12,20
2026-08-27T12:30:00Z,334.0,12,20
2026-08-27T12:20:00Z,327.0,12,20
2026-08-27T11:50:00Z,347.0,12,20
2026-08-27T11:40:00Z,331.0,12,20
2026-08-27T11:00:00Z,330.0,12,20
2026-08-27T10:50:00Z,345.0,12,20
2026-08-27T09:20:00Z,336.0,12,20
2026-08-27T09:10:00Z,356.0,12,20
2026-08-27T05:20:00Z,349.0,12,20
2026-08-27T04:50:00Z,362.0,12,20
2026-08-27T01:40:00Z,374.0,12,20
2026-08-27T01:10:00Z,391.0,12,20
2026-08-27T00:20:00Z,396.0,12,20
2026-08-26T21:50:00Z,387.0,12,20
2026-08-26T21:20:00Z,368.0,12,20
2026-08-26T20:00:00Z,350.0,12,20
2026-08-26T19:40:00Z,362.0,12,20
2026-08-26T19:20:00Z,342.0,12,20
2026-08-26T18:50:00Z,342.0,12,20
2026-08-26T18:40:00Z,330.0,12,20
2026-08-26T18:30:00Z,341.0,12,20
2026-08-26T18:20:00Z,320.0,12,20
2026-08-26T18:00:00Z,326.0,12,20
2026-08-26T17:40:00Z,307.0,12,20
2026-08-26T16:50:00Z,314.0,12,20
2026-08-26T16:20:00Z,292.0,12,20
2026-08-26T15:30:00Z,287.0,12,20
2026-08-26T14:40:00Z,297.0,12,20
2026-08-26T14:20:00Z,288.0,12,20
2026-08-26T13:40:00Z,316.0,12,20
2026-08-26T12:50:00Z,316.0,12,20
2026-08-26T12:20:00Z,346.0,12,20
2026-08-26T12:10:00Z,334.0,12,20
2026-08-26T10:40:00Z,360.0,12,20
2026-08-26T10:20:00Z,387.0,12,20
2026-08-26T09:30:00Z,375.0,12,20
2026-08-26T09:20:00Z,358.0,12,20
2026-08-26T07:10:00Z,345.0,12,20
2026-08-26T06:00:00Z,352.0,12,20
2026-08-26T05:10:00Z,373.0,12,20
2026-08-26T04:30:00Z,378.0,12,20
2026-08-26T04:20:00Z,369.0,12,20
2026-08-26T03:00:00Z,394.0,12,20
2026-08-26T00:50:00Z,391.0,12,20
2026-08-26T00:20:00Z,401.0,12,20
2026-08-26T00:10:00Z,387.0,12,20
2026-08-25T22:50:00Z,377.0,12,20
2026-08-25T22:30:00Z,376.0,12,20
2026-08-25T22:20:00Z,391.0,12,20
2026-08-25T21:50:00Z,377.0,12,20
2026-08-25T21:40:00Z,386.0,12,20
2026-08-25T20:50:00Z,375.0,12,20
2026-08-25T20:00:00Z,380.0,12,20
2026-08-25T19:00:00Z,352.0,12,20
2026-08-25T18:50:00Z,366.0,12,20
2026-08-25T17:50:00Z,344.0,12,20
2026-08-25T17:40:00Z,356.0,12,20
2026-08-25T17:10:00Z,349.0,12,20
2026-08-25T16:40:00Z,327.0,12,20
2026-08-25T16:00:00Z,350.0,12,20
2026-08-25T15:40:00Z,317.0,12,20
2026-08-25T15:20:00Z,311.0,12,20
2026-08-25T15:00:00Z,325.0,12,20
2026-08-25T14:10:00Z,289.0,12,20
2026-08-25T14:00:00Z,299.0,12,20
2026-08-25T13:30:00Z,286.0,12,20
2026-08-25T13:20:00Z,296.0,12,20
2026-08-25T13:10:00Z,264.0,12,20
2026-08-25T12:20:00Z,286.0,12,20
2026-08-25T12:10:00Z,261.0,12,20
2026-08-25T11:20:00Z,269.0,12,20
2026-08-25T10:50:00Z,246.0,12,20
2026-08-25T10:30:00Z,251.0,12,20
2026-08-25T10:00:00Z,279.0,12,20
2026-08-25T09:50:00Z,257.0,12,20
2026-08-25T08:50:00Z,263.0,12,20
2026-08-25T08:20:00Z,250.0,12,20
2026-08-25T07:20:00Z,271.0,12,20
2026-08-25T06:30:00Z,267.0,12,20
2026-08-25T06:20:00Z,284.0,12,20
2026-08-25T05:40:00Z,266.0,12,20
2026-08-25T05:20:00Z,289.0,12,20
2026-08-25T02:40:00Z,308.0,12,20
2026-08-25T02:00:00Z,333.0,12,20
2026-08-25T01:10:00Z,329.0,12,20
2026-08-25T00:50:00Z,340.0,12,20
2026-08-25T00:40:00Z,366.0,12,20
2026-08-25T00:30:00Z,347.0,12,20
2026-08-25T00:20:00Z,359.0,12,20
2026-08-24T23:20:00Z,374.0,12,20
2026-08-24T22:50:00Z,365.0,12,20
2026-08-24T22:40:00Z,373.0,12,20
2026-08-24T22:30:00Z,361.0,12,20
2026-08-24T22:20:00Z,381.0,12,20
2026-08-24T22:10:00Z,366.0,12,20
2026-08-24T21:50:00Z,387.0,12,20
2026-08-24T21:20:00Z,381.0,12,20
2026-08-24T20:30:00Z,406.0,12,20
2026-08-24T19:30:00Z,361.0,12,20
2026-08-24T18:40:00Z,274.0,12,20
2026-08-24T18:20:00Z,277.0,12,20
2026-08-24T18:10:00Z,261.0,12,20
2026-08-24T17:50:00Z,263.0,12,20
2026-08-24T17:20:00Z,243.0,12,20
2026-08-24T17:10:00Z,256.0,12,20
2026-08-24T16:10:00Z,263.0,12,20
2026-08-24T16:00:00Z,249.0,12,20
2026-08-24T15:30:00Z,246.0,12,20
2026-08-24T15:10:00Z,228.0,12,20
2026-08-24T14:50:00Z,234.0,12,20
2026-08-24T14:40:00Z,254.0,12,20
2026-08-24T14:10:00Z,256.0,12,20
2026-08-24T14:00:00Z,269.0,12,20
2026-08-24T13:50:00Z,254.0,12,20
2026-08-24T13:40:00Z,271.0,12,20
2026-08-24T13:20:00Z,243.0,12,20
2026-08-24T13:10:00Z,247.0,12,20
2026-08-24T13:00:00Z,269.0,12,20
2026-08-24T12:50:00Z,231.0,12,20
2026-08-24T12:30:00Z,231.0,12,20
2026-08-24T12:10:00Z,263.0,12,20
2026-08-24T12:00:00Z,244.0,12,20
2026-08-24T11:50:00Z,259.0,12,20
2026-08-24T11:20:00Z,268.0,12,20
2026-08-24T10:30:00Z,252.0,12,20
2026-08-24T10:20:00Z,268.0,12,20
2026-08-24T08:50:00Z,252.0,12,20
2026-08-24T08:10:00Z,269.0,12,20
2026-08-24T08:00:00Z,248.0,12,20
2026-08-24T07:40:00Z,239.0,12,20
2026-08-24T07:30:00Z,255.0,12,20
2026-08-24T06:00:00Z,279.0,12,20
2026-08-24T04:50:00Z,335.0,12,20
2026-08-24T04:40:00Z,317.0,12,20
2026-08-24T04:30:00Z,317.0,12,20
2026-08-24T01:20:00Z,344.0,12,20
2026-08-23T22:20:00Z,349.0,12,20
2026-08-23T19:40:00Z,302.0,12,20
2026-08-23T19:00:00Z,305.0,12,20
2026-08-23T18:10:00Z,282.0,12,20
2026-08-23T17:40:00Z,292.0,12,20
2026-08-23T17:20:00Z,274.0,12,20
2026-08-23T14:30:00Z,276.0,12,20
2026-08-23T14:00:00Z,264.0,12,20
2026-08-23T13:30:00Z,273.0,12,20
2026-08-23T11:50:00Z,252.0,12,20
2026-08-23T11:10:00Z,259.0,12,20
2026-08-23T10:30:00Z,241.0,12,20
2026-08-23T10:20:00Z,251.0,12,20
2026-08-23T08:20:00Z,234.0,12,20
2026-08-23T08:00:00Z,248.0,12,20
2026-08-23T07:50:00Z,229.0,12,20
2026-08-23T07:10:00Z,240.0,12,20
2026-08-23T06:50:00Z,224.0,12,20
2026-08-23T05:40:00Z,251.0,12,20
2026-08-23T05:30:00Z,241.0,12,20
2026-08-23T04:10:00Z,257.0,12,20
2026-08-23T03:40:00Z,289.0,12,20
2026-08-23T02:40:00Z,311.0,12,20
2026-08-23T01:50:00Z,321.0,12,20
2026-08-23T01:40:00Z,303.0,12,20
2026-08-23T01:30:00Z,336.0,12,20
2026-08-23T01:00:00Z,326.0,12,20
2026-08-23T00:50:00Z,336.0,12,20
2026-08-22T22:50:00Z,336.0,12,20
2026-08-22T22:00:00Z,362.0,12,20
2026-08-22T20:40:00Z,348.0,12,20
2026-08-22T20:10:00Z,321.0,12,20
2026-08-22T19:30:00Z,331.0,12,20
2026-08-22T19:20:00Z,347.0,12,20
2026-08-22T19:10:00Z,321.0,12,20
2026-08-22T18:40:00Z,308.0,12,20
2026-08-22T18:20:00Z,312.0,12,20
2026-08-22T18:10:00Z,331.0,12,20
2026-08-22T18:00:00Z,309.0,12,20
2026-08-22T17:50:00Z,304.0,12,20
2026-08-22T17:10:00Z,299.0,12,20
2026-08-22T16:40:00Z,321.0,12,20
2026-08-22T16:30:00Z,301.0,12,20
2026-08-22T16:00:00Z,297.0,12,20
2026-08-22T15:30:00Z,324.0,12,20
2026-08-22T15:20:00Z,311.0,12,20
2026-08-22T14:50:00Z,320.0,12,20
2026-08-22T13:50:00Z,313.0,12,20
2026-08-22T13:30:00Z,336.0,12,20
2026-08-22T13:10:00Z,323.0,12,20
2026-08-22T12:00:00Z,329.0,12,20
2026-08-22T11:50:00Z,306.0,12,20
2026-08-22T11:20:00Z,313.0,12,20
2026-08-22T11:10:00Z,333.0,12,20
2026-08-22T11:00:00Z,306.0,12,20
2026-08-22T10:20:00Z,318.0,12,20
2026-08-22T10:10:00Z,334.0,12,20
2026-08-22T10:00:00Z,309.0,12,20
2026-08-22T09:40:00Z,309.0,12,20
2026-08-22T08:50:00Z,326.0,12,20
2026-08-22T08:40:00Z,314.0,12,20
2026-08-22T08:00:00Z,314.0,12,20
2026-08-22T06:00:00Z,344.0,12,20
2026-08-22T04:50:00Z,334.0,12,20
2026-08-22T04:20:00Z,354.0,12,20
2026-08-22T01:10:00Z,344.0,12,20
2026-08-21T22:50:00Z,363.0,12,20
2026-08-21T22:00:00Z,391.0,12,20
2026-08-21T20:20:00Z,386.0,12,20
2026-08-21T18:40:00Z,404.0,12,20
2026-08-21T17:50:00Z,391.0,12,20
2026-08-21T16:30:00Z,398.0,12,20
2026-08-21T15:50:00Z,381.0,12,20
2026-08-21T15:20:00Z,389.0,12,20
2026-08-21T14:50:00Z,359.0,12,20
2026-08-21T14:20:00Z,364.0,12,20
2026-08-21T13:50:00Z,342.0,12,20
2026-08-21T13:40:00Z,354.0,12,20
2026-08-21T13:30:00Z,342.0,12,20
2026-08-21T12:50:00Z,343.0,12,20
2026-08-21T11:50:00Z,364.0,12,20
2026-08-21T11:40:00Z,347.0,12,20
2026-08-21T10:50:00Z,364.0,12,20
2026-08-21T09:30:00Z,368.0,12,20
2026-08-21T09:20:00Z,356.0,12,20
2026-08-21T07:40:00Z,356.0,12,20
2026-08-21T05:40:00Z,325.0,12,20
2026-08-21T05:20:00Z,335.0,12,20
2026-08-21T04:50:00Z,321.0,12,20
2026-08-21T04:00:00Z,338.0,12,20
2026-08-21T03:50:00Z,316.0,12,20
2026-08-21T03:00:00Z,329.0,12,20
2026-08-21T02:50:00Z,319.0,12,20
2026-08-21T02:10:00Z,319.0,12,20
2026-08-21T02:00:00Z,337.0,12,20
2026-08-21T00:10:00Z,350.0,12,20
